dt_reference;id_city_origin;id_city_destination;freight_cost;distance
19/07/2024;5107602;4118204;270.0;1578.91
26/07/2024;5107602;4118204;360.0;1578.91
02/08/2024;5107602;4118204;300.0;1578.91
09/08/2024;5107602;4118204;315.0;1578.91
16/08/2024;5107602;4118204;290.0;1578.91
23/08/2024;5107602;4118204;280.0;1578.91
30/08/2024;5107602;4118204;305.0;1578.91
06/09/2024;5107602;4118204;307.5;1578.91
13/09/2024;5107602;4118204;317.5;1578.91
20/09/2024;5107602;4118204;330.0;1578.91
27/09/2024;5107602;4118204;321.0;1578.91
04/10/2024;5107602;4118204;365.0;1578.91
11/10/2024;5107602;4118204;355.0;1578.91
18/10/2024;5107602;4118204;370.0;1578.91
25/10/2024;5107602;4118204;380.0;1578.91
01/11/2024;5107602;4118204;390.0;1578.91
08/11/2024;5107602;4118204;335.0;1578.91
15/11/2024;5107602;4118204;383.75;1578.91
22/11/2024;5107602;4118204;400.0;1578.91
29/11/2024;5107602;4118204;412.92;1578.91
06/12/2024;5107602;4118204;425.0;1578.91
13/12/2024;5107602;4118204;340.0;1578.91
20/12/2024;5107602;4118204;310.0;1578.91
27/12/2024;5107602;4118204;395.0;1578.91
03/01/2025;5107602;4118204;405.0;1578.91
10/01/2025;5107602;4118204;376.5;1578.91
17/01/2025;5107602;4118204;375.0;1578.91
24/01/2025;5107602;4118204;356.67;1578.91
31/01/2025;5107602;4118204;287.5;1578.91
07/02/2025;5107602;4118204;270.0;1578.91
14/02/2025;5107602;4118204;360.0;1578.91
21/02/2025;5107602;4118204;300.0;1578.91
28/02/2025;5107602;4118204;315.0;1578.91
07/03/2025;5107602;4118204;290.0;1578.91
14/03/2025;5107602;4118204;280.0;1578.91
21/03/2025;5107602;4118204;305.0;1578.91
28/03/2025;5107602;4118204;307.5;1578.91
04/04/2025;5107602;4118204;317.5;1578.91
11/04/2025;5107602;4118204;330.0;1578.91
18/04/2025;5107602;4118204;321.0;1578.91
25/04/2025;5107602;4118204;365.0;1578.91
02/05/2025;5107602;4118204;355.0;1578.91
09/05/2025;5107602;4118204;370.0;1578.91
16/05/2025;5107602;4118204;380.0;1578.91
23/05/2025;5107602;4118204;390.0;1578.91
30/05/2025;5107602;4118204;335.0;1578.91
06/06/2025;5107602;4118204;383.75;1578.91
13/06/2025;5107602;4118204;400.0;1578.91
20/06/2025;5107602;4118204;412.92;1578.91
27/06/2025;5107602;4118204;425.0;1578.91
04/07/2025;5107602;4118204;340.0;1578.91
11/07/2025;5107602;4118204;310.0;1578.91
19/07/2024;5107925;4118204;370.0;2189.78
26/07/2024;5107925;4118204;390.0;2189.78
02/08/2024;5107925;4118204;372.5;2189.78
09/08/2024;5107925;4118204;482.5;2189.78
16/08/2024;5107925;4118204;375.0;2189.78
23/08/2024;5107925;4118204;420.0;2189.78
30/08/2024;5107925;4118204;447.5;2189.78
06/09/2024;5107925;4118204;434.0;2189.78
13/09/2024;5107925;4118204;440.0;2189.78
20/09/2024;5107925;4118204;448.25;2189.78
27/09/2024;5107925;4118204;442.0;2189.78
04/10/2024;5107925;4118204;466.5;2189.78
11/10/2024;5107925;4118204;442.5;2189.78
18/10/2024;5107925;4118204;470.0;2189.78
25/10/2024;5107925;4118204;440.0;2189.78
01/11/2024;5107925;4118204;457.5;2189.78
08/11/2024;5107925;4118204;475.0;2189.78
15/11/2024;5107925;4118204;498.35;2189.78
22/11/2024;5107925;4118204;511.65;2189.78
29/11/2024;5107925;4118204;443.3;2189.78
06/12/2024;5107925;4118204;507.23;2189.78
13/12/2024;5107925;4118204;560.0;2189.78
20/12/2024;5107925;4118204;531.62;2189.78
27/12/2024;5107925;4118204;532.5;2189.78
03/01/2025;5107925;4118204;503.0;2189.78
10/01/2025;5107925;4118204;504.75;2189.78
17/01/2025;5107925;4118204;490.0;2189.78
24/01/2025;5107925;4118204;460.0;2189.78
31/01/2025;5107925;4118204;455.0;2189.78
07/02/2025;5107925;4118204;472.5;2189.78
14/02/2025;5107925;4118204;474.0;2189.78
21/02/2025;5107925;4118204;504.0;2189.78
28/02/2025;5107925;4118204;535.0;2189.78
07/03/2025;5107925;4118204;487.5;2189.78
14/03/2025;5107925;4118204;380.0;2189.78
21/03/2025;5107925;4118204;505.0;2189.78
28/03/2025;5107925;4118204;410.0;2189.78
04/04/2025;5107925;4118204;478.0;2189.78
11/04/2025;5107925;4118204;370.0;2189.78
